기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20150401134000,84608.0,64131.95,64500.0,20476.05,31.928,18367.05,28.63947
20150401134500,84608.0,64138.11,64500.0,20469.89,31.91533,18360.89,28.62712
20150401135000,84608.0,64336.14,65600.0,20271.86,31.50929,18162.86,28.2312
20150401135500,84608.0,64096.25,65600.0,20511.75,32.00148,18402.75,28.71111
20150401140000,84608.0,64262.77,65600.0,20345.23,31.65943,18236.23,28.37759
20150401140500,84608.0,64286.46,65600.0,20321.54,31.61091,18212.54,28.33029
20150401141000,84608.0,64215.72,65600.0,20392.28,31.75591,18283.28,28.47166
20150401141500,84608.0,64383.88,65600.0,20224.12,31.41177,18115.12,28.13611
20150401142000,84608.0,64597.36,65600.0,20010.64,30.97749,17901.64,27.71265
20150401142500,84608.0,64495.68,65600.0,20112.33,31.18399,18003.33,27.91401
20150401143000,84608.0,64178.16,65600.0,20429.84,31.833,18320.84,28.54684
20150401143500,84608.0,64347.9,65600.0,20260.1,31.48525,18151.1,28.20775
20150401144000,84608.0,64043.59,65600.0,20564.42,32.11003,18455.42,28.81696
20150401144500,84308.0,64105.61,65600.0,20202.39,31.51423,18093.39,28.22435
20150401145000,84308.0,64087.23,65600.0,20220.77,31.55196,18111.77,28.26113
20150401145500,84308.0,64077.88,65600.0,20230.13,31.57116,18121.13,28.27985
20150401150000,84308.0,63776.16,65600.0,20531.85,32.19361,18422.85,28.88673
20150401150500,84308.0,63651.71,65600.0,20656.29,32.45205,18547.29,29.1387
20150401151000,84308.0,63499.51,65600.0,20808.49,32.76952,18699.49,29.44824
20150401151500,84308.0,63649.36,65600.0,20658.64,32.45695,18549.64,29.14349
20150401152000,84308.0,63972.24,65600.0,20335.76,31.78841,18226.76,28.49167
20150401152500,84308.0,63848.11,65600.0,20459.89,32.04464,18350.89,28.74148
20150401153000,84308.0,63812.77,65600.0,20495.23,32.11776,18386.23,28.81277
