년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,5,22,1,0,17.5,14.6,22.5,4.3,89.6,18.2,0.46,46070
2006,5,23,2,0,15,12,20.1,2.9,85,14.6,10.78,45574
2006,5,24,3,0,18.5,13.8,23.8,1.6,65.6,13.9,19.72,45761
2006,5,25,4,0,18.8,16.1,21.3,2.2,48.5,10.6,11.36,45836
2006,5,26,5,0,21.6,16.7,27,2,46.6,12,24.68,45826
2006,5,27,6,1,16.3,13.8,21.2,3.3,81.3,15.2,4.49,42506
2006,5,28,7,1,17.3,13.5,22.2,2.4,67.3,13.2,14.33,39532
2006,5,29,1,0,18.4,14.6,22.7,2.3,68.9,14.7,20.41,45629
2006,5,30,2,0,20.5,15,25.5,2.5,57.6,13.5,25.49,46264
2006,5,31,3,0,21.3,15.6,26.7,1.9,52.1,12.8,21.21,42487
2006,6,1,4,0,22.7,16.7,28.1,1.5,50.1,13.5,20.2,46408
2006,6,2,5,0,25.9,18.6,32.4,2.2,45.8,14.7,22.35,48558
2006,6,3,6,1,23.4,19.5,29.8,2.8,44.4,12.6,24.72,43710
2006,6,4,7,1,20.8,17.3,26.2,2.4,60.4,14.7,22.01,39332
2006,6,5,1,0,21.3,17.1,26.1,2.2,57.6,14.6,23.7,46939
2006,6,6,2,1,21.9,17.7,27.3,2.3,59,15.4,20.23,43522
2006,6,7,3,0,21.9,17.8,26.5,1.7,57.6,15,14.31,47739
2006,6,8,4,0,20.1,18.3,24,1.9,69.4,16.5,10.23,46898
2006,6,9,5,0,21,17.2,26.2,2.4,60.4,14.8,19.5,47086
2006,6,10,6,1,17.3,15.1,20.6,2.6,80.1,16,2.38,43850
2006,6,11,7,1,16.9,15.6,17.8,3.2,82.5,16.1,3.94,39437
2006,6,12,1,0,21.3,14.1,28.3,1.5,62.5,15.1,25.5,47275
2006,6,13,2,0,23.5,18.7,28.8,1.7,60.8,17.4,17.97,48818
2006,6,14,3,0,19,16.5,22.1,2.6,82,18.1,2.31,46127
2006,6,15,4,0,18.5,15.8,22.7,3.3,80.1,17.2,18.84,46680
2006,6,16,5,0,21.4,15.6,27.3,2.3,54.1,13,11.67,47394
2006,6,17,6,1,22.2,18,26.3,2.2,51.3,13.8,24.29,43198
2006,6,18,7,1,21.5,17.6,27.2,2.5,66.6,17,25.41,40016
2006,6,19,1,0,22.9,17.2,28.7,1.9,62.4,16.9,21.91,49076
2006,6,20,2,0,22.5,19.8,26.2,2.1,62.5,17,13.63,49126
2006,6,21,3,0,19.2,18.7,20.1,1.9,91,20.6,2.37,48581
2006,6,22,4,0,22.6,17.7,28.8,1.7,74.5,20.3,20.59,49337
2006,6,23,5,0,23.9,19.7,29.3,1.6,69,20.5,15.88,50375
2006,6,24,6,1,24.4,19.2,28.5,1.6,65.9,20.1,22,44180
2006,6,25,7,1,24.4,20.3,29.2,2.4,64.4,19.5,21.81,40399
2006,6,26,1,0,20.4,19.6,22.8,2.4,91.5,22.3,2.5,48657
2006,6,27,2,0,21.1,19.1,24.2,2.4,87.3,22.2,5.33,49538
2006,6,28,3,0,23.7,20.5,27.7,1.7,77.8,22.9,16.97,51310
2006,6,29,4,0,25,21.7,29.3,1.5,77,24.4,10.24,51941
2006,6,30,5,0,23.2,20.8,26.8,3.9,87.4,25.2,6.45,51308
2006,7,1,6,1,22.6,21.1,24.7,2.6,85.4,23.7,4.71,44307
2006,7,2,7,1,23,20.6,26.7,2.4,73.9,20.7,16.33,40588
2006,7,3,1,0,24.1,19.6,28.6,1.4,68.8,20.6,16.25,49629
2006,7,4,2,0,22.4,21.5,24,2.9,84.3,23.2,3.54,49150
2006,7,5,3,0,21.5,18.7,24.7,3,71.9,18.6,10.94,48662
2006,7,6,4,0,21.1,19.2,23.5,2.1,78.8,20,7.16,47377
2006,7,7,5,0,23,20,26.8,1.2,79.8,22.5,8.43,49154
2006,7,8,6,1,25.5,21.3,29,1.4,71,23.2,15.3,45277
2006,7,9,7,1,25.7,23.5,28.8,2.2,75.9,25.3,13.54,42430
2006,7,10,1,0,23.8,21.2,26.1,4.2,80.4,24,4.19,48334
2006,7,11,2,0,24.7,21.2,28.7,2.7,75.6,23.6,16.94,50439
2006,7,12,3,0,23.8,22.6,25.1,3,93.6,28,0.34,52533
2006,7,13,4,0,25.2,23.7,27.2,3.5,90.5,29.4,5.08,53912
